order_line_id,order_id,date,status,fulfilment,sales_channel,ship_service_level,style,sku,category,size,asin,courier_status,qty,currency,amount,ship_city,ship_state,ship_postal_code,ship_country,promotion_ids,b2b,fulfilled_by,amount_missing,promotion_recorded,zero_qty,zero_amount,repeated_order_sku,status_group,customer_type,year,month_number,month_name,year_month,day_name,is_weekend
57260,407-5814732-9549158,2022-05-25,Shipped,Amazon,Amazon.in,Expedited,SET254,SET254-KR-NP-XXL,Set,XXL,B0983DCNY3,Shipped,1,INR,886.0,NAVI MUMBAI,MAHARASHTRA,400703,IN,No Promotion Recorded,False,Amazon,False,False,False,False,False,Shipped / In Process,B2C,2022,5,May,2022-05,Wednesday,False
12805,404-5344837-1564354,2022-04-22,Cancelled,Amazon,Amazon.in,Expedited,J0014,J0014-LCD-M,Set,M,B0894XW4QF,Unshipped,1,INR,1648.0,SULYA,KARNATAKA,574232,IN,No Promotion Recorded,False,Amazon,False,False,False,False,False,Cancelled,B2C,2022,4,April,2022-04,Friday,False
113886,402-3398597-4088310,2022-06-11,Shipped,Amazon,Amazon.in,Expedited,JNE3757,JNE3757-KR-XXL,Kurta,XXL,B099NPK5DS,Shipped,1,INR,487.0,VADODARA,GUJARAT,390022,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Amazon,False,True,False,False,False,Shipped / In Process,B2C,2022,6,June,2022-06,Saturday,True
8955,402-3472022-0065902,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,J0198,J0198-TP-XL,Top,XL,B0986YD8K8,Shipped,1,INR,588.0,GANDHINAGAR,GUJARAT,382007,IN,No Promotion Recorded,False,Amazon,False,False,False,False,False,Shipped / In Process,B2C,2022,4,April,2022-04,Monday,False
59206,407-2272479-0956311,2022-05-24,Shipped,Amazon,Amazon.in,Expedited,SET402,SET402-KR-NP-XXL,Set,XXL,B09VC57SBH,Shipped,1,INR,988.0,INDORE,MADHYA PRADESH,452016,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Amazon,False,True,False,False,False,Shipped / In Process,B2C,2022,5,May,2022-05,Tuesday,False
53287,408-8840912-2649125,2022-05-28,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3554,JNE3554-KR-L,Kurta,L,B08MXBV2CM,Shipped,1,INR,517.0,BENGALURU,KARNATAKA,560079,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-FYWJCQHU2XQ2U,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-URPEBMPS7TSPE,Amazon PLCC Free-Financing Universal Merchant AAT-5ZEB2OGNZ32MC,Amazon PLCC Free-Financing Universal Merchant AAT-CAK4QZ7KEFRQU,Amazon PLCC Free-Financing Universal Merchant AAT-YZJ5BRTPINRLK,Amazon PLCC Free-Financing Universal Merchant AAT-SNWJTEAZA2JRI,Amazon PLCC Free-Financing Universal Merchant AAT-BBJ6FVTP3QKBO,Amazon PLCC Free-Financing Universal Merchant AAT-TNYBHEAO7HOHO,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,Amazon PLCC Free-Financing Universal Merchant AAT-QMFZ3M7T5NPDS,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1601980554292",False,Easy Ship,False,True,False,False,False,Delivered,B2C,2022,5,May,2022-05,Saturday,True
22715,404-1431485-2670727,2022-04-17,Shipped,Amazon,Amazon.in,Expedited,JNE3405,JNE3405-KR-M,Kurta,M,B081WVMMCY,Shipped,1,INR,399.0,MOHALI,PUNJAB,140301,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Amazon,False,True,False,False,False,Shipped / In Process,B2C,2022,4,April,2022-04,Sunday,True
119773,403-4578898-4306751,2022-06-07,Cancelled,Amazon,Amazon.in,Expedited,SET332,SET332-KR-PP-S,Set,S,B09NQ33VW2,Unshipped,1,INR,525.0,TUNI,ANDHRA PRADESH,533401,IN,No Promotion Recorded,False,Amazon,False,False,False,False,False,Cancelled,B2C,2022,6,June,2022-06,Tuesday,False
92221,402-7527446-6918768,2022-06-28,Shipped,Amazon,Amazon.in,Expedited,JNE3674,JNE3674-TU-M,Top,M,B094368WZ8,Shipped,1,INR,574.0,JAIPUR,RAJASTHAN,302021,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Amazon,False,True,False,False,False,Shipped / In Process,B2C,2022,6,June,2022-06,Tuesday,False
48144,405-9856136-1605135,2022-04-01,Shipped,Amazon,Amazon.in,Expedited,SET398,SET398-KR-PP-L,Set,L,B09RP8WLNY,Shipped,1,INR,1129.0,JUTOGH,HIMACHAL PRADESH,171011,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Amazon,False,True,False,False,False,Shipped / In Process,B2C,2022,4,April,2022-04,Friday,False
63989,403-4016769-1933939,2022-05-19,Shipped,Amazon,Amazon.in,Expedited,JNE3797,JNE3797-KR-L,Western Dress,L,B09SDXFFQ1,Shipped,1,INR,771.0,MUMBAI,MAHARASHTRA,400086,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Amazon,False,True,False,False,False,Shipped / In Process,B2C,2022,5,May,2022-05,Thursday,False
60457,408-0886230-5773130,2022-05-22,Shipped,Amazon,Amazon.in,Expedited,SET364,SET364-KR-NP-XXL,Set,XXL,B09QJ5BYM8,Shipped,1,INR,1338.0,BHUBANESWAR,ODISHA,751018,IN,No Promotion Recorded,False,Amazon,False,False,False,False,False,Shipped / In Process,B2C,2022,5,May,2022-05,Sunday,True
36219,407-1841065-3669906,2022-04-09,Shipped,Amazon,Amazon.in,Expedited,JNE3405,JNE3405-KR-S,Kurta,S,B081WX4G4Q,Shipped,1,INR,399.0,PIMPRI CHINCHWAD,MAHARASHTRA,412105,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Amazon,False,True,False,False,False,Shipped / In Process,B2C,2022,4,April,2022-04,Saturday,True
