sku,design_no,stock,category,size,color,sku_missing,stock_status,sku_duplicate,sku_quality
AN201-RED-L,AN201,5,Leggings,L,Red,False,Low Stock,False,Valid SKU
AN201-RED-M,AN201,5,Leggings,M,Red,False,Low Stock,False,Valid SKU
AN201-RED-S,AN201,3,Leggings,S,Red,False,Low Stock,False,Valid SKU
AN201-RED-XL,AN201,6,Leggings,XL,Red,False,In Stock,False,Valid SKU
AN201-RED-XXL,AN201,3,Leggings,XXL,Red,False,Low Stock,False,Valid SKU
AN202-ORANGE-L,AN202,11,Leggings,L,Orange,False,In Stock,False,Valid SKU
AN202-ORANGE-M,AN202,3,Leggings,M,Orange,False,Low Stock,False,Valid SKU
AN202-ORANGE-S,AN202,16,Leggings,S,Orange,False,In Stock,False,Valid SKU
AN202-ORANGE-XL,AN202,8,Leggings,XL,Orange,False,In Stock,False,Valid SKU
AN202-ORANGE-XXL,AN202,14,Leggings,XXL,Orange,False,In Stock,False,Valid SKU
AN203-MAROON-L,AN203,1,Leggings,L,Maroon,False,Low Stock,False,Valid SKU
AN203-MAROON-M,AN203,2,Leggings,M,Maroon,False,Low Stock,False,Valid SKU
AN203-MAROON-S,AN203,2,Leggings,S,Maroon,False,Low Stock,False,Valid SKU
AN203-MAROON-XL,AN203,2,Leggings,XL,Maroon,False,Low Stock,False,Valid SKU
AN203-MAROON-XXL,AN203,3,Leggings,XXL,Maroon,False,Low Stock,False,Valid SKU
AN204-PURPLE-L,AN204,10,Leggings,L,Purple,False,In Stock,False,Valid SKU
AN204-PURPLE-M,AN204,4,Leggings,M,Purple,False,Low Stock,False,Valid SKU
AN204-PURPLE-S,AN204,6,Leggings,S,Purple,False,In Stock,False,Valid SKU
AN204-PURPLE-XL,AN204,3,Leggings,XL,Purple,False,Low Stock,False,Valid SKU
AN204-PURPLE-XXL,AN204,5,Leggings,XXL,Purple,False,Low Stock,False,Valid SKU
AN205-YELLOW-L,AN205,9,Leggings,L,Yellow,False,In Stock,False,Valid SKU
AN205-YELLOW-M,AN205,7,Leggings,M,Yellow,False,In Stock,False,Valid SKU
AN205-YELLOW-S,AN205,6,Leggings,S,Yellow,False,In Stock,False,Valid SKU
AN205-YELLOW-XL,AN205,7,Leggings,XL,Yellow,False,In Stock,False,Valid SKU
AN205-YELLOW-XXL,AN205,13,Leggings,XXL,Yellow,False,In Stock,False,Valid SKU
AN206-GREEN-L,AN206,10,Leggings,L,Green,False,In Stock,False,Valid SKU
AN206-GREEN-M,AN206,13,Leggings,M,Green,False,In Stock,False,Valid SKU
AN206-GREEN-S,AN206,13,Leggings,S,Green,False,In Stock,False,Valid SKU
AN206-GREEN-XL,AN206,15,Leggings,XL,Green,False,In Stock,False,Valid SKU
AN206-GREEN-XXL,AN206,13,Leggings,XXL,Green,False,In Stock,False,Valid SKU
AN207-PINK-L,AN207,4,Leggings,L,Pink,False,Low Stock,False,Valid SKU
AN207-PINK-M,AN207,2,Leggings,M,Pink,False,Low Stock,False,Valid SKU
AN207-PINK-S,AN207,4,Leggings,S,Pink,False,Low Stock,False,Valid SKU
AN207-PINK-XL,AN207,1,Leggings,XL,Pink,False,Low Stock,False,Valid SKU
AN207-PINK-XXL,AN207,2,Leggings,XXL,Pink,False,Low Stock,False,Valid SKU
